 Date, Team, Acquired, Relinquished, Notes
2006-12-02, Knicks, , Jerome James, right foot injury (DTD)
2006-12-02, Nuggets, , • Joe Smith, sprained right ankle (DNP)
2006-12-02, Warriors, , • Adonal Foyle, surgery on right ring finger to repair ligament damage
2006-12-03, 76ers, , • Kyle Korver, sprained left ankle (DNP)
2006-12-04, Hornets, , • Bobby Jackson, cracked rib (out ~2 weeks)
2006-12-04, Warriors, , • Jason Richardson, sore left knee (DNP)
2006-12-05, Hawks, , • Craig Claxton / Speedy Claxton, sore knees (DNP)
2006-12-05, Warriors, , • Jason Richardson, sore left knee (DNP)
2006-12-06, Grizzlies, Damon Stoudamire, , returned to lineup
2006-12-06, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-06, Knicks, , • Kelvin Cato, sore right foot (DTD)
2006-12-07, Sonics, , • Ray Allen, bone bruise on right ankle (out 1-2 weeks)
2006-12-08, Grizzlies, Tarence Kinsey, , returned to lineup
2006-12-08, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-08, Lakers, , • Kobe Bryant, sprained right ankle (DNP)
2006-12-08, Nuggets, • Joe Smith, , ankle injury (DNP)
2006-12-09, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-09, Knicks, , Steve Francis, right knee tendinitis (DNP)
 Date, Team, Acquired, Relinquished, Notes
2006-12-09, Knicks, Jerome James, , returned to lineup
2006-12-09, Warriors, , • Anthony Roberson, finger injury (DTD)
2006-12-10, Lakers, , • Vladimir Radmanovic, sprained right ankle (DNP)
2006-12-11, Clippers, , Corey Maggette, bruised left knee (DNP)
2006-12-11, Grizzlies, , • Lawrence Roberts, surgery on knee (out 4-6 weeks)
2006-12-11, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-11, Jazz, , Gordan Giricek, DNP
2006-12-11, Pacers, , • Marquis Daniels, stomach illness (DNP)
2006-12-12, Lakers, , • Lamar Odom, sprained right knee (out 1-2 months)
2006-12-12, Warriors, , • Jason Richardson, bruised left knee (DNP)
2006-12-12, Warriors, , • Troy Murphy, sore left foot (DNP)
2006-12-13, Bucks, , • Lynn Greer, heel injury (DTD)
2006-12-13, Clippers, , Sam Cassell, plantar fasciitis in left foot (DNP)
2006-12-13, Sonics, , • Earl Watson, bruised lower back (DNP)
2006-12-14, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-14, Hornets, , • Tyson Chandler, flu (DNP)
2006-12-14, Magic, , • Grant Hill, left knee tendinitis (DNP)
2006-12-14, Warriors, , • Jason Richardson, bone bruise in left knee (DNP)
2006-12-14, Warriors, , • Troy Murphy, sore left Achilles tendon (DNP)
2006-12-15, Celtics, , • Ryan Gomes, strained right calf (DNP)
2006-12-15, Heat, , • Jason Williams, quadricep injury (DNP)
2006-12-15, Jazz, , • Ronnie Brewer, ankle injury (DTD)
2006-12-15, Knicks, • Kelvin Cato, , returned to lineup
2006-12-15, Nets, , • Richard Jefferson, sore right ankle (DNP)
2006-12-15, Warriors, , • Jason Richardson, bone bruise in left knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2006-12-16, Grizzlies, , Damon Stoudamire, sore right knee (DNP)
2006-12-16, Heat, , • Gary Payton, DNP
2006-12-16, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-16, Pistons, , • Rasheed Wallace, sore ankle (DNP)
2006-12-17, Hornets, , • Predrag Stojakovic / Peja Stojakovic, surgery on back to remove disc fragment
2006-12-17, Warriors, , • Jason Richardson, bruised left knee (DNP)
2006-12-18, Bobcats, , • Sean May, sprained right ankle (out 1-2 weeks)
2006-12-18, Bucks, , • Bobby Simmons, surgery on right foot
2006-12-18, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-18, Warriors, , • Troy Murphy, sore left foot (DNP)
2006-12-20, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2006-12-20, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2006-12-20, Hornets, , • David West, arthrosopic surgery on right elbow
2006-12-20, Jazz, • Ronnie Brewer, , returned to lineup
2006-12-20, Raptors, , • Jorge Garbajosa, strained right calf (DNP)
2006-12-21, Celtics, , • Paul Pierce, stress reaction in left foot (out 2-3 weeks)
2006-12-21, Kings, , • Jason Hart, shin injury (DTD)
2006-12-21, Kings, , • Ron Artest / Metta World Peace, sore knees (DNP)
2006-12-22, Cavaliers, , • Damon Jones, back spasms (DTD)
2006-12-22, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2006-12-22, Nets, , Nenad Krstic, torn ACL in left knee (out for season)
2006-12-22, Nuggets, , • Marcus Camby, broken right ring finger (DNP)
2006-12-22, Sonics, , • Rashard Lewis, surgery on right hand to repair torn tendon (out 8+ weeks)
2006-12-22, Sonics, , • Rashard Lewis, right hand injury (DTD)
2006-12-23, Hawks, , • Tyronn Lue, groin injury (DNP)
 Date, Team, Acquired, Relinquished, Notes
2006-12-23, Hawks, , • Zaur Pachulia / Zaza Pachulia, sprained elbow (DNP)
2006-12-23, Heat, , • Gary Payton, DNP
